终极蜘蛛侠之死; 评分: 暂无评分
加勒比海盗6：四海之怒; 评分: 暂无评分
青春期猪头少年不做怀梦少女的梦; 评分: 暂无评分
无敌浩克; 评分: 8.1
巴尔干边界; 评分: 暂无评分
名侦探柯南OVA11：来自伦敦的秘密指令; 评分: 暂无评分
蝙蝠侠：黑暗骑士; 评分: 9.3
鬼片王之再现凶榜; 评分: 5.7
最伟大的美国恐怖片; 评分: 3.6
忌日快乐2; 评分: 6.9
魁拔V; 评分: 暂无评分
扫毒; 评分: 8.9
正义联盟; 评分: 8.6
狂暴凶狮; 评分: 7.7
雷神成人版; 评分: 暂无评分
惊奇队长的奇妙冒险; 评分: 暂无评分
后来的我们; 评分: 8.3
偷心女盗; 评分: 暂无评分
环太平洋：雷霆再起; 评分: 8.1
利刃破冰; 评分: 暂无评分
鬼吹灯之天星术; 评分: 暂无评分
海王2; 评分: 暂无评分
死侍; 评分: 8.7
一出好戏; 评分: 8.2
蝙蝠侠; 评分: 暂无评分
神奇女侠; 评分: 8.6
你的名字。; 评分: 9.2
美人鱼; 评分: 9.0
侏罗纪世界2; 评分: 8.6
蝙蝠侠大战超人：正义黎明; 评分: 8.0
铁拳雄心; 评分: 暂无评分
情圣2; 评分: 暂无评分
紧急救援; 评分: 暂无评分
境·界; 评分: 7.3
脱单记; 评分: 暂无评分
地球最后的夜晚; 评分: 2.6
一吻定情; 评分: 8.6
过春天; 评分: 8.2
周杰伦摩天轮演唱会 2014; 评分: 暂无评分
蜡笔小新：新婚旅行飓风之遗失的野原广志; 评分: 暂无评分
嘿玛 嘿玛; 评分: 7.1
星球大战：原力觉醒; 评分: 8.2
阳台上; 评分: 5.3
蚁人; 评分: 8.9
明日战记; 评分: 暂无评分
黑衣人; 评分: 8.4
钢铁侠与美国队长：英雄集结; 评分: 6.1
三体; 评分: 暂无评分
快把我哥带走; 评分: 8.9
驯龙高手2; 评分: 9.3
绿巨人浩克; 评分: 7.4
无双; 评分: 8.9
密室逃生; 评分: 8.6
素媛; 评分: 9.1
摔跤吧！爸爸; 评分: 9.8
东北虎; 评分: 暂无评分
疯狂动物城; 评分: 9.5
狂怒沙暴; 评分: 暂无评分
在乎你; 评分: 7.8
我想吃掉你的胰脏; 评分: 8.7
一条狗的回家路; 评分: 9.0
虎影侠; 评分: 暂无评分
同人哆啦A梦：大雄的喜马拉雅行进记; 评分: 暂无评分
哥斯拉：噬星者; 评分: 5.3
叶问之九龙城寨; 评分: 暂无评分
角头2：王者再起; 评分: 6.3
蜘蛛侠超能力探秘; 评分: 暂无评分
侏罗纪世界3; 评分: 暂无评分
X战警3：背水一战; 评分: 8.3
英雄无侠; 评分: 暂无评分
廉政风云; 评分: 7.0
冰海陷落; 评分: 6.7
鬼照片; 评分: 3.7
爱宠大机密; 评分: 9.0
守灵; 评分: 3.6
斩毒行动; 评分: 暂无评分
X战警：第一战; 评分: 8.7
别哭妈妈; 评分: 暂无评分
命运之夜——天之杯：迷失之蝶; 评分: 暂无评分
冰雪奇缘; 评分: 9.5
钢铁飞龙之奥特曼崛起; 评分: 8.9
一路疯癫; 评分: 暂无评分
新哥斯拉; 评分: 7.0
来电狂响; 评分: 8.6
使徒行者; 评分: 8.8
自杀小队; 评分: 8.6
变形金刚4：绝迹重生; 评分: 9.2
罗布奥特曼剧场版：决定了！羁绊的水晶; 评分: 暂无评分
敢问路在何方; 评分: 暂无评分
羞羞的铁拳; 评分: 9.1
头号玩家; 评分: 9.0
失恋复仇者联盟; 评分: 暂无评分
反贪风暴3; 评分: 8.8
大侦探福尔摩斯3; 评分: 暂无评分
两块钱之钱途太囧; 评分: 暂无评分
功夫2; 评分: 暂无评分
巨齿鲨; 评分: 8.7
李娜; 评分: 暂无评分
变形金刚8; 评分: 暂无评分
感动她77次; 评分: 暂无评分
肥龙过江; 评分: 暂无评分
拳皇2019; 评分: 暂无评分
749局; 评分: 暂无评分
自杀小队2; 评分: 暂无评分
午夜凶铃：贞子复活; 评分: 6.7
从你的全世界路过; 评分: 8.6
动物世界; 评分: 8.5
星球大战：最后的绝地武士; 评分: 7.9
神奇宝贝：皮卡丘探险队; 评分: 7.1
憨豆特工3; 评分: 8.6
神奇女侠1984; 评分: 暂无评分
熊出没·变形记; 评分: 9.1
碟中谍6：全面瓦解; 评分: 9.0
我为兄弟狂; 评分: 暂无评分
看不见的客人; 评分: 9.4
X战警; 评分: 8.3
疾速追杀; 评分: 7.2
喜剧之王; 评分: 9.1
哆啦A梦：大雄的金银岛; 评分: 8.2
移情大师; 评分: 暂无评分
雷神小队：第二部分; 评分: 8.0
爵迹; 评分: 7.8
黑衣人2; 评分: 8.2
奇异博士; 评分: 5.9
非常交易; 评分: 暂无评分
妈妈再爱我一次; 评分: 7.9
速度与激情6; 评分: 9.3
死侍与黑豹：回到红与黑; 评分: 暂无评分
记忆切割; 评分: 暂无评分
朝花夕誓-于离别之朝束起约定之花; 评分: 9.1
超时空同居; 评分: 8.7
大破天门阵; 评分: 暂无评分
星际穿越; 评分: 9.4
夺宝大师; 评分: 暂无评分
恐怖电影院2; 评分: 4.9
机动战士高达NT; 评分: 暂无评分
恐龙王; 评分: 8.9
大象席地而坐; 评分: 7.9
龙珠：超级赛亚人灭绝计划; 评分: 7.2
加勒比海盗5：死无对证; 评分: 8.9
捉妖记2; 评分: 8.1
寻梦环游记; 评分: 9.6
乐高大电影2; 评分: 8.5
幕后玩家; 评分: 8.4
再见班花; 评分: 暂无评分
建军大业; 评分: 9.1
怪医杜立德; 评分: 暂无评分
芳华; 评分: 9.0
金刚狼; 评分: 8.3
命运之夜——天之杯：恶兆之花; 评分: 8.4
火影忍者剧场版：博人传; 评分: 9.3
极速追杀; 评分: 暂无评分
